name,amenity,nearest_node,snap_distance_m
Vita-Apotheke,pharmacy,9507516049,2.718200068259418
Linden-Apotheke,pharmacy,1995549062,10.536275138745093
St. Anna Apotheke,pharmacy,1120054439,12.756742859947355
Hofapotheke St. Afra,pharmacy,254334769,13.643962533300796
Zwölf-Apostel-Apotheke,pharmacy,858056093,30.05817880198138
Apotheke an der Wertachbrücke,pharmacy,4837171226,10.690974512538878
Ludwigs-Apotheke,pharmacy,1310228602,11.083078517613659
Apotheke Oberhausen im NVZ,pharmacy,685495738,23.088781682622383
Rosen Apotheke,pharmacy,4854890693,17.960329366528303
Gisela Apotheke,pharmacy,1115544319,16.901824494848874
Bergius-Apotheke,pharmacy,1944408068,6.449296298592078
Bärenkeller-Apotheke,pharmacy,9920586389,16.86749456125651
Augusta-Apotheke,pharmacy,4929421932,6.528620706442271
Kristall-Apotheke,pharmacy,4839603693,20.767934281712797
Prinz-Karl-Apotheke,pharmacy,8629208155,4.7637743712759235
Hochfeld-Apotheke,pharmacy,5958760631,2.5198344337358
Tattenbach Apotheke,pharmacy,5562076981,20.058298554652744
Brücken Apotheke,pharmacy,1198381940,10.490451366799494
Pelikan-Apotheke,pharmacy,6028278952,10.967900041584288
Neue Herz-Apotheke,pharmacy,9309724781,3.007343412026455
Markus Apotheke,pharmacy,4988147663,4.893606671745084
Casania Apotheke,pharmacy,1700624632,15.127856031620606
Apotheke an der Universität,pharmacy,9901983395,8.471613717179729
Storchen-Apotheke,pharmacy,9770739,19.517473438037932
St. Martins Apotheke,pharmacy,21269617,12.413186343098165
Stadt-Apotheke Lechhausen,pharmacy,11877706,14.968949319134117
Schwaben Apotheke,pharmacy,714923053,15.836012465957769
Bismarck Apotheke,pharmacy,9358172604,6.442978928177298
Heilig-Kreuz-Apotheke,pharmacy,794787659,17.782553574357188
Easy Apotheke,pharmacy,2634106669,15.659250811986405
Theresien Apotheke,pharmacy,1540399144,2.362711834483327
DrKraus Apotheke am diako,pharmacy,11898740691,22.267958697212425
Apotheke an der Bergstraße,pharmacy,1079122574,21.170626172902786
Kurhaus-Apotheke,pharmacy,725257828,8.859763004262069
Apotheke City-Galerie,pharmacy,10123380082,7.3492444159327945
Stern Apotheke,pharmacy,2103869768,21.047976715425776
Anna Apotheke,pharmacy,253375609,10.506238806531023
Luther King Apotheke,pharmacy,13164838524,7.005406148864165
Stefan-Apotheke Manhardt,pharmacy,13176829648,19.025760642931107
Luisen-Apotheke,pharmacy,9412473,28.355152556225168
Olympia Apotheke,pharmacy,12441256033,7.853788925955565
Elisabeth Apotheke,pharmacy,7260439498,11.717466494391228
Bavaria-Apotheke,pharmacy,3493540690,11.667089207609559
Apotheke am alten Postweg,pharmacy,9653795204,15.342092483844624
Johannes-Apotheke,pharmacy,1129489110,16.394495076671287
Bären Apotheke,pharmacy,11187394844,15.257836750489822
Apotheke im Pfersee Park,pharmacy,287285755,7.74033953417092
Apotheke Inningen,pharmacy,10248329073,16.09927525642851
Apotheke am Vincentinum,pharmacy,25730872,13.778167166457484
Grottenau-Apotheke,pharmacy,671894814,15.561986474331981
Central Apotheke,pharmacy,3346936908,24.398214237262536
easyApotheke,pharmacy,672531211,22.73925658859115
ipunkt Apotheke,pharmacy,5615721965,18.91518897777226
Alpha Apotheke,pharmacy,13986151928,8.143604131589733
Apotheke im Sheridan Park,pharmacy,7041699465,10.795695540630133
Gudjons Apotheke,pharmacy,9403692572,6.95881458275664
Lotos-Apotheke,pharmacy,9934315411,3.5207253206564886
easyApotheke,pharmacy,6703438128,6.652759904916557
Herrenbach-Apotheke,pharmacy,9359317580,11.262894107445252
Apotheke am Oberhauser Bahnhof,pharmacy,4898971270,17.93630610494461
Elisabeth Apotheke,pharmacy,7260439498,14.232837635842362
APEX Vital,pharmacy,12272140283,10.663929641762074
