osmid,x,y,nearest_pharmacy_m
138415,10.9077163,48.3863785,655.3742897557629
138416,10.907374,48.3858963,599.3150632376274
138418,10.9055457,48.3879018,877.1655052211892
138419,10.9037252,48.3899035,1131.526896896811
138426,10.902169,48.391395,1333.9777888437259
138427,10.9007721,48.3927315,1430.329658081931
138428,10.9003998,48.3930899,1544.3889146793722
138429,10.898094,48.3954425,1217.3412092994465
138439,10.8945189,48.4004659,1811.348816265498
138443,10.893318,48.4024175,2027.633633991973
138444,10.8919822,48.4021049,2132.252711449616
237597,10.9150065,48.3928745,512.8869005593225
237598,10.9151725,48.3913776,679.8274060079581
237599,10.9154948,48.3889604,763.5518161638918
237602,10.9172188,48.38569,545.5414765106215
237604,10.9174086,48.3834204,292.0081604029073
237608,10.9151597,48.3799182,150.6224824694075
237610,10.9138253,48.377084,83.18712307001039
237617,10.9093605,48.3704878,414.5747607619866
237618,10.9095107,48.3703473,415.7399714090789
237619,10.9078794,48.3703101,293.2929412830834
237626,10.9010098,48.3706726,314.74068517865464
237632,10.8926402,48.3695751,173.7545701419776
237638,10.8868324,48.3667339,89.02906552526314
237645,10.8936116,48.3681031,129.4498354028575
357642,10.9102581,48.4230658,3000.341127787447
357654,10.9059802,48.4144818,1889.0594157032726
357665,10.9098956,48.4048279,748.4978434514439
357668,10.9079615,48.40459,894.4065746343693
357670,10.9070131,48.4044372,968.2488676842949
357671,10.9060512,48.4042893,1041.1466608617075
357684,10.9043571,48.4040635,1168.7099496310452
357687,10.903216,48.4038998,1256.4073551177453
357699,10.8957883,48.4029097,1815.6981810959226
357700,10.8944997,48.4027503,1912.461396161435
357704,10.8946232,48.4061256,2214.9101494236174
357705,10.8963397,48.4060172,2087.5856485684644
357706,10.8962261,48.4054273,2021.4563417426568
357707,10.8960263,48.4043221,1901.4782262412457
357708,10.9100608,48.4042445,673.8891513741002
357710,10.9114414,48.4017394,391.2073105455056
357711,10.9126978,48.4004353,216.27532720170683
357713,10.9150252,48.3979255,145.41738240806018
357714,10.9153699,48.3969379,258.69660825524187
357716,10.9153024,48.3948704,367.05229343679525
357719,10.9150257,48.392522,552.1087959576569
357724,10.9136986,48.3926257,622.583856091014
357725,10.9142174,48.3929838,547.6612509035331
446246,10.9534343,48.349116,1075.3262953266849
446247,10.9524643,48.3554021,688.2655674374636
446250,10.9500886,48.3560484,560.9329672776917
446253,10.9344334,48.3679427,1690.6935347284286
446255,10.9294281,48.3742656,1043.3463563390596
446256,10.9295333,48.3745123,1014.7003629306214
