osmid,x,y,nearest_pharmacy_m,accessibility_band
138428,10.9003998,48.3930899,1544.3889146793722,> 1500 m
138439,10.8945189,48.4004659,1811.348816265498,> 1500 m
138443,10.893318,48.4024175,2027.633633991973,> 1500 m
138444,10.8919822,48.4021049,2132.252711449616,> 1500 m
357642,10.9102581,48.4230658,3000.341127787447,> 1500 m
357654,10.9059802,48.4144818,1889.0594157032729,> 1500 m
357699,10.8957883,48.4029097,1815.6981810959223,> 1500 m
357700,10.8944997,48.4027503,1912.461396161435,> 1500 m
357704,10.8946232,48.4061256,2214.910149423617,> 1500 m
357705,10.8963397,48.4060172,2087.5856485684644,> 1500 m
357706,10.8962261,48.4054273,2021.4563417426568,> 1500 m
357707,10.8960263,48.4043221,1901.4782262412457,> 1500 m
446253,10.9344334,48.3679427,1690.6935347284286,> 1500 m
9356794,10.8519494,48.4067167,1521.0623030037211,> 1500 m
9929864,10.8358429,48.3862914,1691.0984913757973,> 1500 m
10367270,10.879126,48.3269648,1974.5758015097176,> 1500 m
10381459,10.842703,48.3147935,1510.5209647352417,> 1500 m
10381460,10.8406631,48.3146891,1661.8155187503507,> 1500 m
10381462,10.8392863,48.3145085,1766.1611622113153,> 1500 m
10381465,10.8368935,48.3130148,2010.347016502652,> 1500 m
10381475,10.8321678,48.3123614,2376.9015833750727,> 1500 m
10381523,10.8254075,48.3336094,3431.1034826406653,> 1500 m
10381528,10.8212308,48.3167988,3561.267362207905,> 1500 m
10381531,10.820834,48.3182996,3731.6803204815446,> 1500 m
10381533,10.8203572,48.3189964,3816.836531269923,> 1500 m
10381537,10.8226383,48.3196306,3837.0202530090232,> 1500 m
10381541,10.8271084,48.321278,3626.288302210287,> 1500 m
10381544,10.8303986,48.3229901,3315.8229414675325,> 1500 m
10381547,10.8327709,48.3237913,3117.910413131632,> 1500 m
10381566,10.8451247,48.3313194,2167.475195035902,> 1500 m
11494038,10.917877,48.3498231,1549.232348762657,> 1500 m
11494039,10.9185194,48.3480471,1590.8289671145078,> 1500 m
11494040,10.9158073,48.3475759,1799.1341211501804,> 1500 m
11878083,10.9335064,48.392189,1626.559188378012,> 1500 m
12129205,10.828237,48.3352029,3153.7719550644865,> 1500 m
12129206,10.827473,48.3350445,3209.185748842034,> 1500 m
12129207,10.8279399,48.3354983,3189.181489800824,> 1500 m
12129208,10.8280834,48.3352368,3157.916026677907,> 1500 m
